Document ID,cluster_size,overall_stance_on_mandatory_federal_role,stance_on_nist_as_standards_body,supports_mandatory_pre_deployment_eval,supports_incident_reporting_regime,supports_liability_safe_harbor,emphasizes_innovation_or_compliance_cost,top_3_themes,specific_recommendations,notable_evidence_or_examples,tone,quality,evidence_excerpt
NIST-2025-0035-0003,2,mixed,supportive,yes,unclear,unclear,yes,pre_deployment_evaluation;human_oversight;agent_autonomy,1. Recognize pre-deployment static analysis as a distinct security control category. 2. Standardize machine-readable behavioral declarations (AGENTS.md). 3. Adopt framework-agnostic intermediate representations for security assessment. 4. Prioritize data flow taint tracking for indirect prompt injection detection. 5. Automate compliance mapping between agent controls and NIST AI RMF/EU AI Act.,"Analysis across 11 frameworks (LangGraph, LangChain, CrewAI, AutoGen, pydantic-ai, Google ADK, n8n, Flowise, Langflow, Dify); 20+ detection patterns; MCP server path validation bypasses cited; nearly half of deployed AI agents lack monitoring.",mixed,substantive,"Pre-deployment static analysis should be recognized as a distinct security control category for AI agent systems, complementing runtime monitoring."
NIST-2025-0035-0005,1,unclear,supportive,unclear,unclear,unclear,no,identity_authentication;human_oversight;liability,"NIST should write AI governance standards that couple the cognitive Policy Decision Point (PDP) to the hardware Policy Enforcement Point (PEP) via a deterministic cryptographic primitive (UNISON_MODE/IBA framework), rather than relying on software API-based governance layers.","Visa AgentCard (March 2026): AI agent creates a real spendable Visa card in under 10 seconds without human intervention; cited as live example of the ""Alignment Gap"" and unresolved liability. Patent GB2603013.0, PCT 150+ countries. 50,000-shard stress test (Filing 9).",commercial_promotion,promotional,The UNISON Governance Stack is not a proposal. It is running today at theiomt.com/hg-html/. The Alignment Gap is closed. The only remaining question is whether the standard is written with this architecture — or written around the gap it fills.
NIST-2025-0035-0004,1,unclear,unclear,unclear,unclear,unclear,no,identity_authentication;human_oversight;supply_chain,Centrally managed IdP with agent identities decoupled from human users; standardize on SCIM + admin APIs for entitlement catalog; enforce least privilege and time-boxed OAuth scopes; adopt PIM to eliminate standing privileges; use centralized secrets manager with controlled broker service for static credentials.,"References to SCIM, OAuth, PIM, and centralized secrets managers as existing technical standards/tools. Mentions IdPs governing access into apps with security gaps in governing entitlements within apps.",technical,substantive,Centrally managed identity provider where agent identities are first-class and decoupled from human users. Standardize on SCIM + admin APIs to mirror entitlements into a central catalog; enforce least privilege and time boxed OAuth scopes with step up for risky actions
NIST-2025-0035-0002,1,unclear,supportive,unclear,unclear,unclear,no,agent_autonomy;pre_deployment_evaluation;human_oversight,"1. Adopt D₀ (Rényi fractal dimension) monitoring of output probability distributions as a pre-action structural security check. 2. Adopt World Model Capital (WMC) framework: formal state-machine constraints with cryptographic audit trails. 3. Implement ""Bucketed Architectures"" and ""Grumpy Inspector"" agent-to-agent validation at transition boundaries.","Historical prompt injection progression (2022–2023 simple overrides vs. 2024–2025 multi-stage attacks); cross-domain analogy to behavioral health/recovery science (""STILLNESS"" protocol); code-deployment backdoor scenario illustrating semantic-structural gap.",technical,substantive,security must evolve from semantic analysis (what did the agent say?) to structural analysis (how is the agent processing?) to constitutional constraints (what are the immutable laws of the environment?)
NIST-2025-0035-0006,2,unclear,unclear,unclear,unclear,unclear,no,agent_autonomy;identity_authentication;human_oversight,unclear,Internet Computer (IC) Mainnet canister IDs cited: msidp-xyaaa-aaaaa-qf25q-cai (identity/validator) and m3lit-bqaaa-aaaaa-qf24a-cai (structural engine); Module Hash 0xb43857 cited as cryptographic seal.,mixed,off_topic,This submission establishes a decentralized regulatory standard for the Port of Virginia (Hampton Roads Sector). The architecture replaces human-managed policy with a Sovereign Mesh of persistent actors.
NIST-2025-0035-0007,1,mixed,supportive,yes,unclear,unclear,no,identity_authentication;human_oversight;transparency_documentation,"1. NIST should mandate persistent, globally resolvable agent identifiers (GAID) via W3C DID Core. 2. Require revocation endpoints conforming to W3C DID Core CredentialRegistry conventions with real-time propagation. 3. Adopt a formally verified policy language (e.g., Cedar) for high-assurance agent authorization and require pre-authorization. 4. Collaborate with CAISI/NCCoE on OSSA/DUADP as reference implementations.","OSSA v0.4.9 and DUADP open-source projects on npm (@bluefly/openstandardagents, @bluefly/duadp); Cedar policy engine with 13 policy sets, 181 statements evaluated in under 100ms via WebAssembly; NIST SP 800-53 Rev. 5 mappings across 12 control families; W3C DID Core 1.0 integration.",mixed,substantive,"Controls as Code — The Missing Contract Layer
OSSA v0.4 is the first agent specification to natively combine W3C Decentralized Identifiers (DIDs), Cedar
(Amazon's formally verified policy language) for pre-execution authorization, cryptographic manifest
attestation, and machine-readable resource gov"
NIST-2025-0035-0008,1,opposed,neutral,conditional,unclear,unclear,yes,human_oversight;agent_autonomy;pre_deployment_evaluation,"1) Require intent recognition before action authorization. 2) Make human-in-the-loop governance adaptive (verify intent alignment, not micromanage execution). 3) Replace idealized compliance tests with stress testing under ambiguity, conflicting goals, adversarial phrasing, and shifting priorities.","Commenter cites a longitudinal dataset of more than 69,000 human–AI interactions conducted over the past year in real decision contexts involving ambiguity, sarcasm, ethical boundaries, and shifting objectives.",mixed,substantive,"Over the past year, I have conducted longitudinal, high-frequency human–AI collaboration involving more than 69,000 interactions. These interactions occurred in real decision contexts requiring interpretation of ambiguity, subtext, sarcasm, ethical boundaries, and shifting objectives."
NIST-2025-0035-0009,1,mixed,supportive,conditional,unclear,unclear,no,transparency_documentation;human_oversight;sandboxing_isolation,"1. NIST should define a standard format for an agent action receipt linking tool call, policy version, and session to a tamper-evident offline-verifiable record. 2. NIST guidance should require agent runtimes to expose a configurable MCP server endpoint as a precondition for governance interposition. 3. Fail-closed semantics should be required for governance proxies.",Reference implementation AARL (Agent Action Receipt Layer): receipt_id 04fcb4870269dd545650d6a92a3ef11c0b47bf877062d27154fbbd3560afe9cf verified in isolated Python venv. One current-generation agent runtime ships with mcpServers:[] actively suppressed.,technical,substantive,"None of the current NIST publications define a standard format for an agent action receipt — the cryptographic artifact that links a specific tool call, a specific policy version, and a specific session to a tamper-evident, offline-verifiable record."
NIST-2025-0035-0010,1,supportive,supportive,yes,unclear,unclear,no,pre_deployment_evaluation;human_oversight;transparency_documentation,"1. Require multi-model adversarial evaluation (FLEET) for agentic AI security assessment, including collaborative reconstruction tests. 2. Standardize tool invocation governance at the protocol boundary with per-call authorization and evidence fields. 3. Define per-decision evidence receipts (Delta-1) as interoperable artifacts with tamper-evidence, signer authorization, and isolation claims. Adopt 10-item conformance checklist (CC-1–CC-10).","FLEET benchmark: 18,232 API trials across 6 frontier models; redaction counter-productive (35.3% vs. 74.7%, McNemar χ²=52.74, p<0.001); two-agent collaborative attacks reach 75–93% reconstruction vs. 35–67% single-agent; Anthropic September 2025 Claude Code cyber espionage disclosure cited.",technical,substantive,"token-level redaction can be counter-productive in adversarial reconstruction settings: redaction markers reveal the location and type of protected content and reduce effective protection relative to an undefended baseline (35.3% vs. 74.7%, McNemar c² = 52.74, p < 0.001)"
NIST-2025-0035-0011,1,mixed,supportive,conditional,unclear,unclear,no,human_oversight;agent_autonomy;transparency_documentation,"Standardize three-part agent architecture (skills, behavioral specification, heartbeat); require cryptographically signed, version-controlled skills definitions; mandate inspectable/auditable behavioral specifications; implement analysis engine for input validation before any LLM; use multi-model sequencing as a security control; separate action layer from reasoning layer via auditable API contracts.",Research cited: autonomous agent task-completion length doubling ~every 7 months. Model Context Protocol (MCP) flagged as new threat surface. Claude by Anthropic cited as example of widely deployed closed model with undisclosed orchestration layer. M&A diligence surfacing AI governance gaps in portf,mixed,substantive,deploying agents with undisclosed and unauditable behavioral specifications is analogous to deploying a vendor-managed system with no right to audit and no SLA on behavioral changes.
